username,meal_id,meal_date,meal_type
lacey_valenta,92,2023-03-06,lunch
lacey_valenta,93,2023-03-06,dinner
wendell_cervantez,94,2023-03-06,breakfast
wendell_cervantez,95,2023-03-06,lunch
wendell_cervantez,96,2023-03-06,dinner
tabansi_cagle,97,2023-03-06,breakfast
tabansi_cagle,98,2023-03-06,lunch
tabansi_cagle,99,2023-03-06,dinner
maureen_yeates,100,2023-03-06,breakfast
maureen_yeates,101,2023-03-06,lunch
maureen_yeates,102,2023-03-06,dinner
marvelle_massa,103,2023-03-06,breakfast
marvelle_massa,104,2023-03-06,lunch
marvelle_massa,105,2023-03-06,dinner
becse_massa,106,2023-03-06,breakfast
becse_massa,107,2023-03-06,lunch
becse_massa,108,2023-03-06,dinner
esteban_hoag,109,2023-03-06,breakfast
esteban_hoag,110,2023-03-06,lunch
esteban_hoag,111,2023-03-06,dinner
chad_nalls,112,2023-03-06,breakfast
chad_nalls,113,2023-03-06,lunch
chad_nalls,114,2023-03-06,dinner
yuri_hon,115,2023-03-06,breakfast
yuri_hon,116,2023-03-06,lunch
yuri_hon,117,2023-03-06,dinner
dade_gastelum,118,2023-03-06,breakfast
dade_gastelum,119,2023-03-06,lunch
dade_gastelum,120,2023-03-06,dinner
lacey_valenta,121,2023-03-07,breakfast
lacey_valenta,122,2023-03-07,lunch
lacey_valenta,123,2023-03-07,dinner
wendell_cervantez,124,2023-03-07,breakfast
wendell_cervantez,125,2023-03-07,lunch
wendell_cervantez,126,2023-03-07,dinner
tabansi_cagle,127,2023-03-07,breakfast
tabansi_cagle,128,2023-03-07,lunch
tabansi_cagle,129,2023-03-07,dinner
maureen_yeates,130,2023-03-07,breakfast
maureen_yeates,131,2023-03-07,lunch
maureen_yeates,132,2023-03-07,dinner
marvelle_massa,133,2023-03-07,breakfast
marvelle_massa,134,2023-03-07,lunch
marvelle_massa,135,2023-03-07,dinner
becse_massa,136,2023-03-07,breakfast
becse_massa,137,2023-03-07,lunch
becse_massa,138,2023-03-07,dinner
esteban_hoag,139,2023-03-07,breakfast
esteban_hoag,140,2023-03-07,lunch
esteban_hoag,141,2023-03-07,dinner
chad_nalls,142,2023-03-07,breakfast
chad_nalls,143,2023-03-07,lunch
chad_nalls,144,2023-03-07,dinner
yuri_hon,145,2023-03-07,breakfast
yuri_hon,146,2023-03-07,lunch
yuri_hon,147,2023-03-07,dinner
dade_gastelum,148,2023-03-07,breakfast
dade_gastelum,149,2023-03-07,lunch
dade_gastelum,150,2023-03-07,dinner
lacey_valenta,151,2023-03-08,breakfast
lacey_valenta,152,2023-03-08,lunch
lacey_valenta,153,2023-03-08,dinner
wendell_cervantez,154,2023-03-08,breakfast
wendell_cervantez,155,2023-03-08,lunch
wendell_cervantez,156,2023-03-08,dinner
tabansi_cagle,157,2023-03-08,breakfast
tabansi_cagle,158,2023-03-08,lunch
tabansi_cagle,159,2023-03-08,dinner
maureen_yeates,160,2023-03-08,breakfast
maureen_yeates,161,2023-03-08,lunch
maureen_yeates,162,2023-03-08,dinner
marvelle_massa,163,2023-03-08,breakfast
marvelle_massa,164,2023-03-08,lunch
marvelle_massa,165,2023-03-08,dinner
becse_massa,166,2023-03-08,breakfast
becse_massa,167,2023-03-08,lunch
becse_massa,168,2023-03-08,dinner
esteban_hoag,169,2023-03-08,breakfast
esteban_hoag,170,2023-03-08,lunch
esteban_hoag,171,2023-03-08,dinner
chad_nalls,172,2023-03-08,breakfast
chad_nalls,173,2023-03-08,lunch
chad_nalls,174,2023-03-08,dinner
yuri_hon,175,2023-03-08,breakfast
yuri_hon,176,2023-03-08,lunch
yuri_hon,177,2023-03-08,dinner
dade_gastelum,178,2023-03-08,breakfast
dade_gastelum,179,2023-03-08,lunch
dade_gastelum,180,2023-03-08,dinner
lacey_valenta,181,2023-03-09,breakfast
lacey_valenta,182,2023-03-09,lunch
lacey_valenta,183,2023-03-09,dinner
wendell_cervantez,184,2023-03-09,breakfast
wendell_cervantez,185,2023-03-09,lunch
wendell_cervantez,186,2023-03-09,dinner
tabansi_cagle,187,2023-03-09,breakfast
tabansi_cagle,188,2023-03-09,lunch
tabansi_cagle,189,2023-03-09,dinner
maureen_yeates,190,2023-03-09,breakfast
maureen_yeates,191,2023-03-09,lunch
maureen_yeates,192,2023-03-09,dinner
marvelle_massa,193,2023-03-09,breakfast
marvelle_massa,194,2023-03-09,lunch
marvelle_massa,195,2023-03-09,dinner
becse_massa,196,2023-03-09,breakfast
becse_massa,197,2023-03-09,lunch
becse_massa,198,2023-03-09,dinner
esteban_hoag,199,2023-03-09,breakfast
esteban_hoag,200,2023-03-09,lunch
esteban_hoag,201,2023-03-09,dinner
chad_nalls,202,2023-03-09,breakfast
chad_nalls,203,2023-03-09,lunch
chad_nalls,204,2023-03-09,dinner
yuri_hon,205,2023-03-09,breakfast
yuri_hon,206,2023-03-09,lunch
yuri_hon,207,2023-03-09,dinner
dade_gastelum,208,2023-03-09,breakfast
dade_gastelum,209,2023-03-09,lunch
dade_gastelum,210,2023-03-09,dinner
